"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","B1","B2","B3","B4","C1","C2","C3","C4","C5","D1","D2","D3","D4","D5","D6","E","F1","F2","F3","F4","F5","F6","F7"
"88","Male","Kenya","Graphic Design","Yes","No","No","From all industries","No","No","Step up their support",2,2,3,2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","Undecided","Undecided","StronglyAgrees","Undecided","StronglyAgrees","StronglyDisagrees"
"89","Male","Nairobi","Student","Yes","Yes","Yes","From all industries","Yes","Yes","Step up their support",4,3,1,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"90","Male","Kenya","Economist","No","Yes","Yes","Food products","Yes","Yes","Step up their support",3,2,3,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"91","Male","Kajiado","Student","Yes","No","Yes","From all industries","Yes","Yes","Already doing enough",3,2,3,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"92","Female","Nairobi","PR professional","Yes","No","Yes","From all industries","Yes","No","Already doing enough",3,2,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"93","Male","Congo","Student","Yes","No","Yes","Food products","No","Yes","Step up their support",3,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees"
"94","Male","Congo","Student","Yes","No","Yes","Food products","No","Yes","Step up their support",3,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"95","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","Undecided","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"96","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyDisagrees"
"97","Male","Congo","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","Undecided","Undecided","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees"
